artist_name,artist_genre
Mahmut Orhan,"turkish deep house, turkish edm"
David Foster,hip hop
Lord Belial,"black metal, melodic black metal, swedish black metal, swedish metal"
高梨康治,hip hop
Blueboy,hip hop
Gary Hoey,shred
Big Noyd,"hardcore hip hop, queens hip hop"
Виктор Цой,hip hop
Masada String Trio,jazz violin
Mr. Belt & Wezol,"dutch edm, house"
Trash Boat,"anthem emo, easycore, pop punk, uk pop punk"
Ilan Bluestone,"progressive house, progressive trance, trance, uplifting trance"
miwa,"anime rock, j-pop"
Mankind Is Obsolete,hip hop
Extended Spirit,hip hop
Muscadine Bloodline,modern country pop
HUNNY,"indie pop, pov: indie"
Fintelligens,"finnish dance pop, finnish hip hop"
Leonid Rudenko,"russian dance pop, russian edm"
Kartell,"filter house, indie soul, new french touch, nu disco"
Crazy Loop,hip hop
Mother Falcon,"austindie, chamber pop, shimmer psych, stomp and whittle"
Christian Finnegan,"comedy, deep comedy, new comedy"
Spazzkid,future bass
Kris Delmhorst,"boston folk, ectofolk, folk, new england americana"
Robert Smith,hip hop
John Reuben,"christian alternative rock, christian hip hop, christian punk"
Joonas Hahmo,"finnish edm, progressive house, progressive trance"
Popular Computer,electrofox
The Honeydrips,gothenburg indie
SS Djs,hip hop
IC3PEAK,"russian witch house, witch house"
Life in Film,british indie rock
Outbreakband,"german ccm, german worship"
Lex Clockwork,hip hop
CLOCKWORK GREEN,hip hop
The Shaggs,outsider
Chief Kamachi,"flick hop, underground rap"
Mood II Swing,"classic house, deep house, soulful house, vogue"
Pharmakon,"avant-garde metal, death industrial, electra, mandible, new isolationism, noise, power electronics"
The Phantom Band,"scottish indie, scottish rock"
Vanbot,"electropop, swedish electropop"
Dat Politics,"bitpop, glitch pop"
matryoshka,"j-ambient, japanese post-rock"
The Bilinda Butchers,"indie shoegaze, nu gaze"
The Pale Fountains,"c86, melancholia, sophisti-pop, uk post-punk"
Oranssi Pazuzu,"atmospheric black metal, avant-garde metal, blackgaze, cosmic black metal, drone metal, finnish black metal, finnish psychedelic rock, post-black metal, post-metal, sci-fi metal, voidgaze"
Visioneers,jazz rap
Moments Of Divinity,hip hop
Volor Flex,"future garage, russian electronic, substep"
Eddie Berman,"indie folk, new americana"
Go Betty Go,"chicano punk, power-pop punk"
Контактный Зоопарк,russian emo
Christopher Franke,berlin school
Gratitude,hip hop
Clazziquai,k-indie
Nordman,"classic swedish pop, folkmusik, swedish pop"
George Bruns,movie tunes
Scandroid,"cyberpunk, darksynth, synthwave"
Antonio Banderas,hip hop
Harvey Milk,"athens indie, modern noise rock, noise rock"
The Faders,hip hop
Ilene Woods,movie tunes
Voicians,"cyberpunk, future rock, german dnb"
The Mouse Outfit,"manchester hip hop, uk alternative hip hop"
The Show Ponies,"folk-pop, neo-traditional bluegrass"
Fidel Nadal,"argentine reggae, latin alternative, rock en espanol"
Isabella Taviani,mpb
Afasi & Filthy,swedish hip hop
The Klezmatics,"balkan brass, klezmer"
Pearson Sound,"classic dubstep, float house, footwork, future garage, outsider house, uk bass, wonky"
By The End Of Tonight,"instrumental math rock, instrumental rock, math rock"
SIAM SHADE,j-rock
Minor Victories,scottish hush
Air Review,austindie
Véronique Sanson,chanson
Raintime,"cyber metal, italian metal, italian power metal, melodic death metal"
Les Humphries Singers,"classic schlager, nederpop"
Glowing Aura,hip hop
Kim Richey,ectofolk
Polarsets,"electrofox, newcastle indie"
Eddie Gale,spiritual jazz
Big Boss Man,bboy
Jacoo,chillstep
The Ocean Blue,"deep new wave, jangle pop"
Andrew Combs,"nashville americana, new americana"
The Beginning Of The End,"bahamian pop, rare groove"
Televisor,"complextro, gaming edm"
SymbolOne,hip hop
KONIEC ŚWIATA,"polish punk, polish reggae"
Lost Acapulco,"latin alternative, mexican rock"
LostAlone,"british alternative rock, uk post-hardcore"
Pokey LaFarge,new americana
Enno Bunger,"german indie, german indie folk, german singer-songwriter"
Boys Town Gang,hi-nrg
Kevin Fowler,"classic texas country, outlaw country, red dirt"
Cheb Balowski,mestissatge
ill.gates,glitch hop
Genetikk,german hip hop
David Lowe,hip hop
Comethazine,"trap, underground hip hop"
Errol Dunkley,"lovers rock, old school dancehall, reggae, rocksteady, roots reggae"
MC Virgins,meme rap
Bracket,"azontobeats, nigerian hip hop, nigerian pop"
Moodoïd,"electro-pop francais, french indie pop, french indietronica, french psychedelic"
Ezra Furman & The Harpoons,hip hop
Kelly Marie,hi-nrg
Donora,"pittsburgh indie, stomp pop"
Grandtheft,electronic trap
Michael Dulin,new age piano
Evil Activities,"classic hardstyle, dark hardcore, happy hardcore, hardcore techno"
Velocity Girl,"alternative pop, c86, tape club, twee pop"
Killing Heidi,"australian alternative rock, australian rock"
Le Matos,"montreal indie, synthwave"
LOUDNESS,"glam metal, j-metal, japanese heavy metal"
Hugo Kant,hip-hop experimental
Raffertie,wonky
Municipale Balcanica,"balkan beats, balkan brass, gypsy fusion, puglia indie"
Holiday Sidewinder,australian alternative pop
Shihad,"classic nz pop, kiwi rock, nz metal"
Cape Cub,north east england indie
Heroin And Your Veins,dark jazz
NRBQ,power pop
FM-84,"popwave, synthwave"
All Tvvins,"irish pop, irish rock"
Nari & Milani,hip hop
The Lurkers,"deep punk rock, mod revival, oi"
Kemopetrol,suomi rock
CloZee,"downtempo bass, electra, glitch hop"
The Vision Bleak,"german metal, gothic metal, lovecraftian metal"
James Galway,classical flute
Hatchie,brisbane indie
Mauro Scocco,"classic swedish pop, swedish pop, swedish singer-songwriter, swedish soul"
Carmen Miranda,hip hop
Huerco S.,"ambient, ambient dub, drone, experimental synth, new isolationism, nyc club, outsider house"
El Otro Yo,"argentine indie, argentine punk, argentine rock"
Karriem Riggins,"abstract beats, alternative hip hop, indie jazz, wonky"
Carlo Gesualdo,"classical, early music, italian renaissance, madrigal, medieval, renaissance"
Olaf Henning,"classic schlager, discofox, kolsche karneval, partyschlager, schlager"
Snake River Conspiracy,"industrial metal, industrial rock"
The Moondoggies,"modern folk rock, stomp and holler, washington indie"
Tony Iommi,hip hop
Reptile Youth,danish alternative rock
Keston Cobblers Club,hip hop
Weatherbox,"alternative emo, midwest emo"
Matthias Tanzmann,"german house, german techno, leipzig electronic, minimal techno"
Cities Aviv,"drumless hip hop, experimental hip hop, memphis indie, psychedelic hip hop"
Iamsu!,cali rap
Donnacha Costello,"irish experimental electronic, irish techno, pop ambient"
Mary Costa,movie tunes
Project Deadman,horrorcore
SoulDecision,"boy band, canadian pop"
Wild Rivers,folk-pop
Jascha Heifetz,violin
Schoolly D,"east coast hip hop, gangster rap, golden age hip hop, old school hip hop, philly rap"
Those Who Ride With Giants,"australian post-rock, instrumental post-rock, post-rock"
Rings of Saturn,"cosmic death metal, deathcore, djent, melodic metalcore, technical deathcore"
MAKSIM,hip hop
Кожаный Олень,"russian pop punk, russian punk, russian punk rock, russian rock"
Vampires Everywhere!,trancecore
Hacktivist,"djent, nu-metalcore, rap metal, thall"
The Kings Of Nuthin',"boston punk, psychobilly, punk 'n' roll"
Iain Archer,irish singer-songwriter
Clint Eastwood,hip hop
León Larregui,"latin alternative, latin rock, rock en espanol"
Slapstick,"chicago punk, modern ska punk, orgcore, ska, ska punk"
Stonewall Jackson,"classic country pop, honky tonk, western swing"
Sugar Candy Mountain,"bay area indie, indie garage rock, neo-psychedelic, oakland indie"
Gers Pardoel,"dutch hip hop, dutch pop"
Grammatik,"polish hip hop, polish old school hip hop"
The Triffids,"australian alternative rock, australian rock, melancholia, perth indie"
Midnight To Twelve,"grunge pop, modern uplift"
Radio Tarifa,flamenco
Anna Babitzin,hip hop
Anna Book,"classic swedish pop, dansband, swedish pop"
Anna Depenbusch,german singer-songwriter
Anna Hanski,"classic finnish pop, classic iskelma, iskelma"
Anna Nevala,hip hop
Smash TV,hip hop
Slaraffenland,hip hop
Little Computer People,hip hop
Brain Drill,"brutal death metal, deathgrind, technical death metal"
Emre Altuğ,turkish pop
Direct Threat,chain punk
Chymera,irish electronic
Moshe Peretz,"israeli mediterranean, mizrahi"
GALNERYUS,"j-metal, japanese power metal, visual kei"
Atahualpa Yupanqui,"cantautor, folklore argentino, folklore surero, guitarra argentina, musica andina, nueva cancion, rock nacional, trova, zamba"
Intoxicados,"argentine rock, ska argentino"
Rebellion Rose,"indonesian punk, yogyakarta indie"
Commander Venus,"midwest emo, omaha indie"
Adult Mom,"bubblegrunge, small room, transpop"
Andrew Applepie,hip hop
Hooded Fang,"canadian indie, canadian indie rock, toronto indie"
Marion Marrón,"color noise, white noise"
Matt Uelmen,video game music
Marion Maerz,classic schlager
Emmanuel Santarromana,electro jazz
Viper,trap brasileiro
DJ Hell,"electroclash, microhouse, minimal techno, techno"
Peder B. Helland,hip hop
Donna Fargo,classic country pop
Michael Holm,classic schlager
Rocco & Bass-T,hands up
Lowkey,lo-fi jazzhop
Plastician,classic dubstep
Scenario Rock,hip hop
Baco Exu do Blues,"pop rap brasileiro, rap baiano, trap brasileiro"
Joseph Loduca,hip hop
Killwhitneydead,"deathcore, melodic deathcore, north carolina metal"
Mat McHugh,folk-pop
Nawang Khechog,"healing, meditation, sleep, tibetan pop"
Oxtered to the Bothy,hip hop
Xinon,chiptune
Patrick Sweany,modern blues rock
Banda Black Rio,"bossa nova, brazilian boogie, brazilian soul, instrumental funk"
Brain of Maggot,hip hop
The Standstills,"canadian rock, modern hard rock"
Gemelli Diversi,italian adult pop
Zed Bias,"uk funky, uk garage"
Ringside,hip hop
Art School Girlfriend,welsh indie
In The Nursery,"british industrial, dark wave, martial industrial, neoclassical darkwave"
Rachelle Ferrell,neo soul
Rawthang,"darkstep, neurofunk"
Eminence,gaming edm
Polographia,hip hop
Doe Paoro,vapor pop
AMORALPARTY,hip hop
Freq Nasty,"breakbeat, nu skool breaks, nz electronic"
Romanthony,garage house
Dubravka Tomšič,balkan classical piano
Jim Chappell,hip hop
Seventh Wonder,"progressive metal, swedish power metal, swedish progressive metal"
Stray Kids,"k-pop, k-pop boy group, pop"
Skinshape,psychedelic soul
Alessandro Marcello,"baroque, classical era, italian baroque"
ConeCrewDiretoria,"brazilian hip hop, manguebeat"
Svenska Akademien,"skansk musik, swedish reggae"
Chantal Goya,ye ye
Funkmaster Flex,hip hop
Left Brain,hip hop
Porcelain Black,"electropop, industrial pop"
Into The Moat,mathcore
Robbie Fulks,alternative country
Major Organ and the Adding Machine,"athens indie, elephant 6"
Sexy Sadie,"musica mallorquina, spanish indie pop"
Wayne Fontana & The Mindbenders,british invasion
The New Birth,"classic soul, disco, funk, motown, p funk, post-disco, quiet storm, soul, southern soul"
Riccardo Cocciante,"canzone d'autore, classic italian pop, italian adult pop"
Prince Fatty,dub
Comedian Harmonists,vintage schlager
Pase Rock,ambeat
TeddyLoid,japanese electropop
Pride And Fall,"aggrotech, ebm, futurepop"
Talking To Turtles,"german indie, leipzig indie"
The Rumjacks,celtic punk
Damiera,progressive post-hardcore
Los Cadetes De Linares,"banda, corridos clasicos, musica mexicana, norteno"
N’Dambi,hip hop
The Orchids,"c86, tape club, twee pop"
Andy Griggs,"country, country road"
Kromlek,"folk black metal, folk metal, german melodeath, german metal, viking black metal, viking metal"
Joanne Shaw Taylor,"electric blues, modern blues, modern blues rock"
Монеточка,hip hop
TWO-MIX,hip hop
Andrés Cepeda,colombian pop
Tears Run Rings,"american shoegaze, dreamgaze, indie shoegaze, nu gaze, shoegaze"
Elijah Who,"lo-fi beats, lo-fi rap"
Asrai,"dutch metal, fallen angel, gothic metal, gothic symphonic metal"
Soft Metals,grave wave
Nattefrost,"autonomous black metal, black 'n' roll, black metal, norwegian black metal, norwegian metal"
Banda MS de Sergio Lizárraga,"banda, musica mexicana, norteno"
LSD,dance pop
Frei.Wild,german oi
The Silent Comedy,alternative americana
Andy Duguid,hip hop
Frank Bretschneider,"glitch, microsound"
Herrmann & Kleine,"deep idm, german electronica, indie electronica"
John Pinette,"clean comedy, comedy, deep comedy"
Christoph Waltz,hip hop
Fog Lake,"lo-fi indie, newfoundland indie, slacker rock, small room"
Big Walter Horton,"blues, chicago blues, harmonica blues, memphis blues"
Marcos & Belutti,"sertanejo, sertanejo pop, sertanejo universitario"
Wade Bowen,"classic texas country, outlaw country, red dirt, texas country"
Yannick Noah,"chanson, french pop"
Lush & Simon,"progressive electro house, sky room"
City of Caterpillar,"emo, screamo, skramz"
Disfear,"crust punk, d-beat, grindcore, neo-crust, swedish hardcore"
Twila Paris,"christian alternative rock, christian music, classic praise"
Eleven Tigers,hip hop
The Music Tapes,"elephant 6, experimental pop, laboratorio, lo-fi"
Bernard Lavilliers,"chanson, french rock"
Alvin Youngblood Hart,"acoustic blues, country blues"
Eric Donaldson,reggae do maranhao
Loikaemie,"deutschrock, german oi, german punk"
Maria Minerva,"baltic post-punk, estonian indie"
Włochaty,polish punk
Oysterband,"british folk, celtic rock, traditional british folk"
Les Enfoirés,"chanson, french pop, variete francaise"
신화승,hip hop
Les Claypool And The Holy Mackerel,funk metal
Smoke Fairies,modern folk rock
Dylan Gardner,la indie
Decoder Ring,oceania soundtrack
Quasimode,"japanese jazz, japanese jazz fusion, japanese jazztronica, jazztronica"
Burn Halo,heavy alternative
Oxide & Neutrino,"2-step, grime, uk garage"
Beneath The Sky,"deathcore, melodic metalcore"
Dead Ghosts,"canadian garage rock, canadian psychedelic rock, garage pop, indie garage rock, neo-psychedelic, vancouver punk"
Mammal Hands,"contemporary jazz, indie jazz, modern jazz trio"
Michael Cera,"canadian indie folk, lo-fi indie, small room"
My Enemies & I,post-screamo
El General,panamanian pop
Chris & Cosey,"british industrial, industrial, minimal wave, proto-techno, uk post-punk"
Aaron Freeman,brooklyn indie
Jonas Bering,minimal techno
Ralphie May,hip hop
Rock n Roll Soldiers,"eugene indie, oth indie"
Nosliw,german reggae
Lady Trinity,hip hop
Jazz Juice,"funky breaks, nu jazz"
Muhsinah,hip hop
Chris Whitley,"alternative roots rock, roots rock"
Bitty McLean,"lovers rock, uk reggae"
Bruce Willis,hollywood
Royworld,hip hop
La Caution,old school rap francais
Matisse,"latin arena pop, latin pop, mexican pop"
Małpa,"polish alternative rap, polish hip hop"
Wildlife Sound Recordings,"ocean, rain"
Brother's Keeper,hip hop
Hezekiah Walker,"gospel, israelite hip hop"
Winterpills,"melancholia, new england americana, western mass indie"
Ragnarok M: Eternal Love,hip hop
William Sheller,"chanson, french rock"
Mario Basanov,"deep disco house, lithuanian electronic"
Dave East,"canadian hip hop, harlem hip hop, nyc rap, southern hip hop, trap"
Tiffany Alvord,viral pop
Gloria Groove,"funk carioca, pop lgbtq+ brasileira"
Ami Suzuki,"j-idol, japanese electropop"
Giardini di Mirò,italian alternative
Padded Cell,hip hop
Menno de Jong,"dutch trance, trance, uplifting trance"
that dog.,"alternative pop, modern power pop, riot grrrl"
The Plimsouls,"jangle pop, power pop, underground power pop"
Blue Highway,"banjo, bluegrass, bluegrass gospel"
Tuck & Patti,hip hop
Jaromir Nohavica,"czech folk, czech pop, czech rock, czech singer-songwriter"
Storm Corrosion,progressive metal
Blundetto,electro jazz
Priests,"american post-punk, bubblegrunge, dc indie, indie punk, riot grrrl"
The Postelles,hip hop
Tommy Cash,estonian hip hop
Gregor Meyle,"german pop, german singer-songwriter"
Splender,grunge pop
Boom Jinx,"progressive house, progressive trance, uplifting trance"
Swearin',"bubblegrunge, indie punk, philly indie"
Emblem3,"post-teen pop, talent show, teen pop"
Anna Puu,"finnish dance pop, finnish pop, iskelma, suomi rock"
Noble Oak,hip hop
Janis Martin,"rock-and-roll, rockabilly"
Abigor,"austrian black metal, austrian metal, avant-garde metal, black metal, medieval black metal, symphonic black metal, technical black metal"
Quiet Company,"austin rock, austindie"
Denai Moore,uk alternative pop
Moon Diagrams,ambient techno
Fatoumata Diawara,"afropop, desert blues, malian blues, mande pop, wassoulou, world"
Jerry Seinfeld,comedy
Los Toros Band,"bachata dominicana, merengue"
Robotaki,"future bass, vapor twitch"
Old Gray,"alternative emo, emo, midwest emo, new england emo"
Angel Dust,"german metal, german thrash metal"
PrototypeRaptor,"chiptune, complextro, gamecore"
Arturo Benedetti Michelangeli,"classical piano, italian classical piano"
Düş Sokağı Sakinleri,"turkish pop, turkish rock"
MiyaGi & Endspiel,"estonian hip hop, russian hip hop, russian trap, uzbek pop"
СЕРЕГА ПИРАТ,russian drain
Charles Lloyd,"contemporary jazz, jazz quartet, jazz saxophone"
Prawn,"alternative emo, midwest emo, new jersey indie"
Unknown Error,"darkstep, neurofunk"
Kevin Saunderson,"acid house, detroit techno, minimal techno, techno"
Kankick,"instrumental hip hop, jazz boom bap"
Loquat,hip hop
Aimer,"anime, anime rock, j-pixie, j-pop, j-poprock"
Duquende,"cante flamenco, flamenco"
Staubkind,"dark rock, german pop rock, medieval rock"
Silly Fools,"thai indie rock, thai rock"
Devil Doll,swing revival
NVDES,indie poptimism
Come on Live Long,irish indie
Ina Müller,"german country, german pop"
Remy Shand,canadian pop
Yo Majesty,"bmore, lgbtq+ hip hop"
Josh Mosser,video game music
Mila J,"r&b, trap queen"
Early Day Miners,slowcore
Fernando Ortega,roots worship
Joe South,bubblegum pop
Honeymoon Suite,"canadian metal, classic canadian rock"
Marvelous 3,grunge pop
Nick Gilder,classic canadian rock
Leonard Nimoy,"comic, outsider"
Charles Webster,uk house
Christian Chávez,mexican pop
Danielle Peck,country dawn
Witchfinder General,"doom metal, nwobhm, uk doom metal"
Le Trio Joubran,"arab folk, arabic jazz, oud, palestinian pop, palestinian traditional"
The Fuzztones,"classic garage rock, garage rock, garage rock revival, trash rock"
Professional Murder Music,industrial metal
MC 900 Ft. Jesus,industrial hip hop
Freeez,"brit funk, hi-nrg, post-disco"
Ed Gein,"american grindcore, chaotic hardcore, grindcore, mathcore, sasscore"
Kurt Carr & The Kurt Carr Singers,gospel
Abstract Rude,abstract hip hop
Hixxy,"deep happy hardcore, happy hardcore, hardcore techno"
Dave Dudley,"classic country pop, truck-driving country"
Scrubs Storytimes,hip hop
Critical Bill,"rap metalcore, rap rock"
The Wild Feathers,deep new americana
Matt Johnson,acoustic cover
Dave Porter,hip hop
Sons Of Kemet,"afrofuturism, british jazz, contemporary jazz, progressive jazz fusion"
Nicole Willis,"finnish soul, retro soul"
Jerry Smith,"brega funk, funk carioca"
Dumonde,"bubble trance, german techno, german trance, hard trance"
Jan Dismas Zelenka,"baroque, bohemian baroque"
Sergio Vargas,"merengue, tropical"
Flower Travellin' Band,"classic j-rock, japanese heavy metal, japanese psychedelic"
Saint Michel,french indie pop
Atli Örvarsson,"nordic soundtrack, soundtrack"
Pretty Patterns,hip hop
Pet Symmetry,"alternative emo, bubblegrunge, chicago indie, emo, midwest emo"
ЛСП,hip hop
Rowland S. Howard,"experimental, experimental rock, industrial, no wave, post-punk, punk blues"
Tyler Ramsey,asheville indie
loyalties,hip hop
Josh Wilson,"ccm, christian alternative rock, christian music"
Utah Jazz,"drum and bass, jazzy dnb, liquid funk"
Russell Crowe,hollywood
Husbands,"chill dream pop, okc indie"
Francis Bebey,"afrobeat, afropop, world"
The National Bank,oslo indie
Drag-On,"bronx hip hop, nyc rap"
Lisandro Aristimuño,"argentine indie, argentine rock"
White Williams,hip hop
Nicola Cruz,"ecuadorian indie, latintronica, organic electronic"
Mohit Chauhan,"filmi, modern bollywood"
Glasses Malone,west coast trap
TIAAN,vapor pop
Scraps Of Tape,nordic post-rock
The Spits,"garage pop, garage punk"
DJ Penelope Lee,hip hop
Ian McCulloch,solo wave
Wings,"album rock, art rock, classic rock, folk rock, mellow gold, rock, singer-songwriter, soft rock"
Diabolic,"conscious hip hop, political hip hop"
Eleni Mandell,hip hop
Alasdair Roberts,"british folk, new weird america, scottish singer-songwriter"
Kyle Cease,deep comedy
John Gorka,"contemporary folk, ectofolk, folk"
Manuel Carrasco,"carnaval cadiz, pop flamenco, spanish pop"
Kim Walker-Smith,"ccm, christian music, deep ccm, world worship, worship"
Mandisa,"ccm, christian alternative rock, christian music"
Aviões do Forró,"axe, forro, sertanejo, sertanejo universitario"
Original Dixieland Jazz Band,"dixieland, new orleans jazz"
David Helpling,deep ambient
Living Sacrifice,"arkansas metal, christian hardcore, christian metal, christian metalcore, christian thrash metal"
Anna Tatangelo,"italian adult pop, italian pop"
Los Jaivas,"chilean rock, latin rock, musica andina, musica andina chilena"
Asmegin,"folk metal, nordic folk metal, viking metal"
Hotel Lights,piano rock
The Reign of Kindo,piano rock
Thundamentals,australian hip hop
Aidan Knight,"vancouver indie, victoria bc indie"
Phil Thornton,singing bowl
Hand Made House,"boston indie, hopebeat"
Dee Clark,"chicago soul, doo-wop, rhythm and blues"
Matenrou Opera,"j-metal, japanese power metal, visual kei"
Gayla Peevey,novelty
Dave Rawlings Machine,"alternative country, folk, indie folk, new americana, progressive bluegrass, roots rock"
Aldo Ciccolini,"classical piano, italian classical piano"
The New Raemon,spanish indie pop
Klaus Doldinger,german soundtrack
Jim Tomlinson,contemporary vocal jazz
Paperclip People,detroit house
Nora Dean,hip hop
Eddie Dee,"latin hip hop, reggaeton"
Audio Receptors,"color noise, white noise"
Cut City,deep gothic post-punk
La Guardia,"cantautor, spanish folk rock, spanish new wave, spanish pop"
Abbey Road Ensemble,hip hop
The March Violets,"deathrock, gothic rock"
Mastiksoul,portuguese pop
Lea Rue,"belgian edm, belgian pop"
Benny Berigan,electro swing
Blood On The Wall,experimental indie rock
Kenichiro Nishihara,ambeat
Drafi Deutscher,classic schlager
Liquid Trio Experiment,progressive metal
The Pirate Ship Quintet,"atmospheric post-rock, instrumental post-rock"
Rare Bird,"canterbury scene, progressive rock, symphonic rock"
Myrath,"african rock, arab metal, maghreb metal, oriental metal, progressive metal, tunisian alternative"
Pale Seas,"shimmer pop, southampton indie"
竹村延和,hip hop
Mages of Chronos,hip hop
Sol Romero Campbell,hip hop
Philip Aaberg,hip hop
Negativland,"collage pop, experimental, experimental rock, outsider, plunderphonics, sound collage"
Hello Artemisia!,sleep
Robin Pecknold,hip hop
Radical Something,indie pop rap
Bunny Berigan,"big band, jazz trumpet, swing, vintage jazz"
Cliff Eidelman,"classic soundtrack, soundtrack"
Mo Kolours,"indie jazz, wonky"
Azizi Gibson,underground hip hop
Jose Merce,"cante flamenco, flamenco, rumba"
Ann Hampton Callaway,contemporary vocal jazz
Balzac,"horror punk, j-punk"
Frauenarzt,hip hop
Casey James,modern country rock
KIRINJI,"city pop, j-rock"
The Moffatts,"boy band, canadian pop"
Leon Else,uk alternative pop
Confederate Railroad,"country, country road, country rock, southern rock"
Burro Banton,old school dancehall
Mathias Schaffhäuser,german techno
Gent & Jawns,"arab trap, electronic trap, moombahton"
Janice Kwan,hip hop
The Sunburst Band,"deep house, soulful house"
Mutated Forms,liquid funk
Piotr Rogucki,"polish alternative, sung poetry"
Bomshel,country dawn
Zielone Żabki,polish punk
Notch,hip hop
Orenda Fink,"alabama indie, omaha indie"
Johan Gielen,"bubble trance, trance, uplifting trance"
Abby Cadabby,hip hop
8 Wonders,deep progressive trance
See-Saw,mecha
Björn Skifs,classic swedish pop
Dominic Fike,"alternative pop rock, pov: indie"
Helium,"alternative pop, boston rock, riot grrrl"
Bret Michaels,hip hop
RedOne,moroccan pop
Like Swimming,stockholm indie
Thee Headcoatees,medway sound
Bob Holroyd,hip hop
SQÜRL,hip hop
Natalia y La Forquetina,"latin alternative, mexican rock, rock en espanol"
Pedro Capó,"latin pop, puerto rican pop"
Vanessa Daou,downtempo
Grégory Lemarchal,"chanson, french pop"
Wiretree,austindie
The Lettermen,"adult standards, easy listening, vocal harmony group"
Damn Stargazers,hip hop
Stars of Track and Field,hip hop
The Mummies,hip hop
Paul Williams,hip hop
Heather Small,"british soul, diva house"
End Of Green,"dark rock, gothic metal"
Dungeon Family,"atl hip hop, dirty south rap"
The For Carnation,"louisville underground, math rock, slowcore"
Jordan Fisher,"movie tunes, post-teen pop"
Katzenjammer Kabarett,"dark cabaret, deathrock, steampunk"
DEATHGAZE,j-metal
Bembeya Jazz National,"afropop, guinean pop, mande pop, west african jazz"
Crucified Barbara,"swedish hard rock, swedish metal"
Skyharbor,"djent, indian metal"
Sly Fox,hip hop
Enthroned,"belgian black metal, belgian metal, black metal, technical black metal"
Scissors For Lefty,deep indie rock
James P. Johnson,"dixieland, harlem renaissance, ragtime, stride, swing, tin pan alley, vintage jazz"
Reverend Grey,hip hop
Cem Adrian,"turkish pop, turkish rock, turkish singer-songwriter"
7000,hip hop
A Storm of Light,"atmospheric sludge, drone metal, post-metal"
Lord Echo,"indie soul, nz reggae"
Bob Berg,jazz saxophone
The Copyrights,"orgcore, power-pop punk"
Moka Only,"bc underground hip hop, canadian hip hop, canadian old school hip hop, jazz rap"
Ilkae,"deep idm, intelligent dance music"
The Silver Seas,nashville indie
Shipping News,"louisville underground, math rock, post-hardcore"
THE BACK HORN,j-rock
Cry Of Love,"modern blues rock, modern hard rock, modern southern rock, southern rock"
Linea 77,"funk metal, italian alternative, italian punk"
Judas and the Black Messiah,hip hop
Curiosity Killed The Cat,"new romantic, new wave pop, sophisti-pop"
Jonah Tolchin,"deep new americana, new americana"
Henri Texier,french jazz
Valerie Dore,italo disco
Brainbug,italian trance
Jex Thoth,"gaian doom, stoner metal"
Grasscut,brighton indie
Ill Skillz,hip hop
Preston School Of Industry,"gbvfi, lo-fi"
Slim Cessna's Auto Club,"cowpunk, deathgrass, gothic americana"
Pugh Rogefeldt,"classic swedish pop, svensk progg"
Monma,"chillhop, lo-fi beats"
Tom Hangs,hip hop
Lika Morgan,house
Sumie,swedish indie folk
Ayo & Teo,"trap, viral rap, viral trap"
DeeBaby,southern hip hop
Owiny Sigoma Band,"african electronic, benga"
Fluxion,"dub techno, greek techno"
Moon Hooch,"modern jazz trio, progressive jazz fusion"
Alice Ripley,"broadway, show tunes"
Amanda Bergman,"swedish americana, swedish indie folk, swedish indie pop"
Anne Briggs,british folk
Grandmaster Melle Mel,"bronx hip hop, east coast hip hop, old school hip hop"
The Obsessed,"doom metal, sludge metal, stoner metal, stoner rock"
Active Bird Community,brooklyn indie
Paul Chambers,"bebop, contemporary post-bop, hard bop, jazz, jazz double bass"
Clare Bowditch,"australian indie, australian singer-songwriter"
Jan Smit,"dutch pop, dutch rock, kermis, levenslied"
Antonio Salieri,"classical, classical era, galante era, italian romanticism"
Because Of Ghosts,"atmospheric post-rock, australian post-rock"
Ken Ring,"swedish gangsta rap, swedish hip hop"
John Philip Sousa,"american romanticism, concert band"
The Interrupters,"punk, ska, ska punk, skate punk"
Yasmin Santos,"sertanejo, sertanejo pop, sertanejo universitario"
Tristan Garner,progressive electro house
718 Crew,hip hop
LCMDF,"electrofox, finnish electro"
Henrique & Diego,"arrocha, sertanejo, sertanejo pop, sertanejo universitario"
Dennis Coffey,"instrumental soul, rare groove"
Jesse Uusitalo,hip hop
Marco Bailey,"belgian techno, minimal techno, schranz, techno"
What Are You Waiting For?,hip hop
Milkyway Outcast,hip hop
Fiona Joy Hawkins,"new age, new age piano"
Hermeto Pascoal,"baiao, bandoneon, bossa nova, brazilian jazz, samba, samba-jazz"
SNFU,"canadian hardcore, canadian punk, hardcore punk, skate punk, vancouver punk"
Sheavy,hip hop
Breakwater,canadian indie
Shiba San,"bass house, french tech house, house, tech house"
The Paper Chase,dallas indie
Dirty Honkers,electro swing
99 Posse,"italian adult pop, italian alternative, italian reggae, italian underground hip hop, rap napoletano"
Ananda Shake,"full on, progressive psytrance, psychedelic trance"
Demdike Stare,"deconstructed club, drone, dub techno, hauntology, intelligent dance music"
Katchafire,"nz hip hop, nz reggae"
The Eyes Of A Traitor,uk metalcore
Lxury,uk house
Grammatics,"leeds indie, math pop"
Grant Kirkhope,video game music
Bobby Freeman,"doo-wop, rhythm and blues, rock-and-roll"
Krzysztof Krawczyk,hip hop
Derniere Volonte,"martial industrial, neofolk"
GRADES,uk dance
Nirgilis,j-poprock
