artist_name,artist_genre
Modest Mouse,"alternative rock, chamber pop, indie rock, indietronica, modern rock, washington indie"
Elvis Presley,"rock-and-roll, rockabilly"
Disturbed,"alternative metal, nu metal, rap metal, rock"
Simon & Garfunkel,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock"
Evanescence,alternative metal
My Chemical Romance,"emo, modern rock, pop punk, pov: indie, rock"
Creedence Clearwater Revival,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock"
Thirty Seconds To Mars,"modern rock, post-grunge"
Frank Sinatra,"adult standards, easy listening, lounge"
Bon Jovi,"glam metal, rock"
Slipknot,"alternative metal, nu metal, rap metal, rock"
Shakira,"colombian pop, dance pop, latin pop, pop"
The Shins,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, stomp and holler"
The Clash,"alternative rock, permanent wave, punk, rock"
Dream Supplier,hip hop
Alicia Keys,"neo soul, pop, r&b"
Pixies,"alternative rock, boston rock, permanent wave, rock"
Limp Bizkit,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock"
The Smiths,"madchester, new wave, permanent wave, rock, uk post-punk"
OneRepublic,"piano rock, pop"
The Cranberries,"irish rock, pop rock, rock"
The Police,"album rock, classic rock, permanent wave, rock"
Kaiser Chiefs,modern rock
Jason Mraz,"acoustic pop, dance pop, neo mellow, pop"
Interpol,"alternative dance, alternative rock, indie rock, indietronica, modern rock, rock"
Beastie Boys,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock"
Nelly Furtado,"canadian latin, canadian pop, dance pop, pop"
Three Days Grace,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge, rock"
The Chemical Brothers,"alternative dance, big beat, breakbeat, electronica, rave, trip hop"
Sum 41,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock"
Marilyn Manson,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock"
The Prodigy,"big beat, breakbeat, dance rock, hardcore techno, rave"
The Fray,"neo mellow, piano rock, pop, pop rock"
Audioslave,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup"
Taylor Swift,pop
Panic! At The Disco,pop
Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Wiz Khalifa,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
Björk,"alternative rock, art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave, trip hop"
2Pac,"g funk, gangster rap, hip hop, rap, west coast rap"
Vampire Weekend,"baroque pop, chamber pop, garage rock, indie rock, indietronica, modern rock"
Nine Inch Nails,"alternative metal, alternative rock, cyberpunk, electronic rock, grunge, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock"
John Lennon,"classic rock, rock"
Lily Allen,"dance pop, electropop"
Bruce Springsteen,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock"
Gwen Stefani,"dance pop, pop"
Artista Rosario,reggaeton flow
Fleetwood Mac,"album rock, classic rock, rock, soft rock, yacht rock"
Stevie Wonder,"motown, soul"
Dire Straits,"album rock, classic rock, mellow gold, rock"
Flo Rida,"dance pop, miami hip hop, pop, pop rap"
Artists Against,musical advocacy
Deep Purple,"album rock, classic rock, hard rock, metal, rock"
Iron Maiden,"alternative metal, hard rock, metal, nwobhm, rock"
The Kinks,"album rock, art rock, british invasion, classic rock, folk rock, glam rock, protopunk, psychedelic rock, rock, singer-songwriter"
Jennifer Lopez,"dance pop, pop, urban contemporary"
Portishead,"alternative rock, art pop, dark pop, electronica, laboratorio, trip hop"
Jimmy Eat World,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
The Goo Goo Dolls,"neo mellow, permanent wave, pop rock, post-grunge"
Iron & Wine,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler"
Eagles,"album rock, classic rock, heartland rock, mellow gold, rock, soft rock, yacht rock"
The Notorious B.I.G.,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
Norah Jones,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz"
The Verve,"britpop, permanent wave, rock, shoegaze"
Nicki Minaj,"hip pop, pop, queens hip hop, rap"
